County,City,EV_Count,Avg_Range,Avg_MSRP,Longitude,Latitude,Charging_Score
King,Seattle,39768,172.6144,59311.1934,-122.338,47.6309,19884.86
King,Bellevue,12202,188.7518,64703.2123,-122.1415,47.6009,6101.88
Clark,Vancouver,9322,162.5425,59576.3375,-122.595,45.6621,4661.82
King,Redmond,8653,189.6672,62741.2952,-122.1067,47.6817,4327.39
King,Kirkland,7163,185.0123,64439.0444,-122.2163,47.6979,3582.37
King,Sammamish,7021,191.8534,64422.176,-122.0244,47.6008,3511.39
King,Renton,6893,168.7618,49153.4395,-122.1562,47.471,3447.41
Snohomish,Bothell,6516,191.3077,61353.3811,-122.1993,47.8211,3258.9
Thurston,Olympia,5956,167.4788,57152.1329,-122.8753,47.037,2978.85
Pierce,Tacoma,5569,167.7285,58605.6188,-122.4542,47.2392,2785.34
King,Kent,4278,183.9016,60893.7879,-122.1743,47.3803,2139.88
Spokane,Spokane,4208,159.674,60263.3228,-117.4058,47.667,2104.81
Whatcom,Bellingham,4186,158.1565,55327.5908,-122.4739,48.7648,2093.84
Snohomish,Lynnwood,4094,188.542,57888.342,-122.2833,47.8415,2047.91
Snohomish,Everett,3937,176.5847,55348.4034,-122.2158,47.9179,1969.39
King,Issaquah,3753,190.7511,63738.2197,-122.0203,47.5382,1877.39
King,Mercer Island,2988,181.4515,68229.6518,-122.2124,47.5782,1494.84
Snohomish,Snohomish,2887,181.6865,62461.6827,-122.1182,47.8898,1444.37
King,Woodinville,2827,181.7743,61796.4493,-122.154,47.7542,1414.37
Pierce,Gig Harbor,2745,174.3989,62600.8727,-122.5944,47.3403,1373.34
King,Shoreline,2720,173.3529,58359.6579,-122.3445,47.7319,1360.86
Snohomish,Edmonds,2641,171.7997,60903.0193,-122.3397,47.849,1321.34
King,Auburn,2565,178.7591,60595.2793,-122.207,47.3128,1283.37
Kitsap,Bainbridge Island,2260,160.5358,59655.8964,-122.521,47.6273,1130.82
King,Federal Way,2258,180.0527,61794.1216,-122.3453,47.3057,1129.86
King,Maple Valley,2187,187.4609,60880.7087,-122.0444,47.3939,1094.39
Clark,Camas,2177,173.7712,61333.151,-122.402,45.5869,1089.35
Snohomish,Lake Stevens,2129,184.3152,63346.8898,-122.064,48.015,1065.37
Pierce,Puyallup,2112,172.027,57623.6752,-122.2896,47.1542,1056.86
Snohomish,Marysville,2046,184.2854,59128.6239,-122.1743,48.0754,1023.89
Kitsap,Bremerton,1993,167.6267,57977.621,-122.6316,47.5873,997.35
King,Bothell,1737,181.5377,57584.7196,-122.2044,47.7609,869.39
King,Seatac,1728,140.7662,49302.4,-122.3126,47.4483,864.83
Kitsap,Port Orchard,1683,166.8562,58607.6111,-122.6639,47.5213,842.34
Pierce,Bonney Lake,1532,181.7722,60271.1364,-122.1714,47.1918,766.88
King,Kenmore,1436,180.2187,63179.6386,-122.2437,47.7589,718.86
Benton,Richland,1431,164.1803,60153.6957,-119.2724,46.2852,716.33
Thurston,Lacey,1414,169.4908,56575.9877,-122.793,47.0525,707.86
King,Tukwila,1393,141.6123,46422.9167,-122.3037,47.4618,697.36
Benton,Kennewick,1375,165.8945,62331.25,-119.2021,46.2014,688.32
King,Burien,1341,178.0455,57948.3333,-122.3426,47.4813,671.38
Clark,Ridgefield,1301,172.9231,61902.2727,-122.746,45.8154,651.34
King,Newcastle,1237,193.0162,67797.0513,-122.1677,47.4941,619.37
King,Snoqualmie,1228,187.9031,62366.7333,-121.8271,47.5289,614.88
Pierce,Lakewood,1194,177.83,58468.7931,-122.5328,47.1623,597.88
Snohomish,Monroe,1146,181.1065,63497.1,-121.9809,47.8526,573.86
Yakima,Yakima,1092,159.4808,62086.7105,-120.5509,46.5935,546.8
Snohomish,Mukilteo,1081,181.173,63418.6184,-122.292,47.8991,541.36
Spokane,Spokane Valley,1064,145.2039,47940.0,-117.2332,47.6648,532.85
Kitsap,Poulsbo,1046,159.3901,58866.5909,-122.6467,47.7369,523.82
Snohomish,Mill Creek,1000,183.586,60351.8056,-122.2106,47.8345,500.88
King,North Bend,993,186.9476,62954.5455,-121.7833,47.4936,497.38
Pierce,University Place,971,168.243,57385.6494,-122.5345,47.2221,486.35
Skagit,Mount Vernon,969,174.9567,59601.1333,-122.3319,48.4161,485.36
Thurston,Tumwater,959,168.1303,56729.875,-122.8997,47.0299,480.36
Franklin,Pasco,959,174.7956,65515.6716,-119.0947,46.2354,480.33
Skagit,Anacortes,935,163.2385,63301.4865,-122.6121,48.5175,468.31
King,Lake Forest Park,906,170.074,59161.7164,-122.3175,47.7578,453.85
Clark,Battle Ground,882,166.3039,59239.0179,-122.5331,45.7809,441.84
Snohomish,Arlington,872,176.0229,61453.6957,-122.1264,48.1947,436.85
King,Covington,869,186.0104,60643.2955,-122.0912,47.3378,435.39
King,Duvall,852,184.0716,61798.2292,-121.986,47.7401,426.88
King,Vashon,831,152.1564,57378.8983,-122.4573,47.4493,416.31
Pierce,South Hill,827,176.3108,59854.3478,-122.2912,47.1283,414.36
Clallam,Sequim,816,155.0564,58767.9464,-123.1037,48.0796,408.81
Jefferson,Port Townsend,812,152.8325,57852.0192,-122.7726,48.1211,406.8
King,Des Moines,778,169.2416,60377.7586,-122.322,47.4064,389.84
Clark,Washougal,739,164.7321,59649.6269,-122.3534,45.5792,370.33
Island,Oak Harbor,715,156.1874,55323.6,-122.6469,48.2908,358.33
Island,Camano Island,670,177.7313,63957.8689,-122.4005,48.2399,335.85
Snohomish,Mountlake Terrace,668,175.0539,56625.5,-122.3111,47.788,334.88
Pierce,Spanaway,664,168.5331,57838.5526,-122.4105,47.0651,332.85
Clallam,Port Angeles,664,153.3464,51115.0,-123.4401,48.1215,332.85
