County,City,VIN (1-10)_count,Electric Range_mean,Electric Range_std,Electric Range_min,Electric Range_max,Base MSRP_mean,Base MSRP_std,Base MSRP_min,Base MSRP_max,Model Year_mean,Model Year_min,Model Year_max,Longitude_mean,Latitude_mean,Vehicle Age_mean,EV_Count,Avg_Range,Range_Std,Avg_MSRP,Avg_Age,Charging_Score,BEV_Ratio,PHEV_Ratio,Make_Diversity,Distance_From_Seattle,Distance_From_Spokane,County_Encoded,EV_Density_Category
Ada,Boise,2,215.0,0.0,215.0,215.0,,,,,2022.5,2022,2023,-116.1734,43.5804,1.5,2,215.0,0.0,,1.5,,1.0,0.0,1,7.357761298791908,4.266421605983171,0,Low
Adams,Benge,1,32.0,,32.0,32.0,39995.0,,39995.0,39995.0,2025.0,2025,2025,-118.1026,46.909,-1.0,1,32.0,0.0,39995.0,-1.0,2.06,0.0,1.0,1,4.28657883282228,1.0099443549027798,1,Low
Adams,Hatton,1,266.0,,266.0,266.0,,,,,2020.0,2020,2020,-119.1742,46.8262,4.0,1,266.0,0.0,,4.0,,1.0,0.0,1,3.2528037767439937,1.9363434612692008,1,Low
Adams,Lind,3,215.0,0.0,215.0,215.0,,,,,2023.0,2022,2024,-118.6157,46.9714,1.0,3,215.0,0.0,,1.0,,1.0,0.0,2,3.7702254574494543,1.3740104985042874,1,Low
Adams,Othello,63,174.3651,89.1408,18.0,322.0,59712.5,12569.83,44100.0,69900.0,2021.2222,2011,2025,-119.1742,46.8262,2.7778,63,174.3651,89.1408,59712.5,2.7778,26.78,0.7777777777777778,0.2222222222222222,12,3.2528037767439937,1.9363434612692008,1,High
Adams,Ritzville,26,158.2308,91.0645,19.0,259.0,,,,,2022.2692,2014,2026,-118.3798,47.1274,1.7308,26,158.2308,91.0645,,1.7308,,0.6923076923076923,0.3076923076923077,9,3.9811963943015862,1.091842662657949,1,Medium
Adams,Washtucna,2,149.5,92.631,84.0,215.0,,,,,2019.0,2015,2023,-118.311,46.7558,5.0,2,149.5,92.631,,5.0,,1.0,0.0,2,4.110039582534446,1.2643709898601783,1,Low
Alameda,Alameda,3,150.3333,112.006,21.0,215.0,,,,,2022.3333,2021,2023,-122.2458,37.7671,1.6667,3,150.3333,112.006,,1.6667,,0.6666666666666666,0.3333333333333333,2,9.839478466870082,11.003463133486658,2,Low
Alameda,Berkeley,1,215.0,,215.0,215.0,,,,,2021.0,2021,2021,-122.2702,37.9006,3.0,1,215.0,0.0,,3.0,,1.0,0.0,1,9.705797389704777,10.894436235069717,2,Low
Alameda,Dublin,2,215.0,0.0,215.0,215.0,,,,,2023.0,2023,2023,-121.9164,37.7042,1.0,2,215.0,0.0,,1.0,,1.0,0.0,1,9.910721996403694,10.92051982828656,2,Low
Alameda,Fremont,1,215.0,,215.0,215.0,,,,,2022.0,2022,2022,-121.9833,37.5515,2.0,1,215.0,0.0,,2.0,,1.0,0.0,1,10.060748159555535,11.087222221097583,2,Low
Albemarle,Charlottesville,2,211.5,4.9497,208.0,215.0,69900.0,,69900.0,69900.0,2019.0,2014,2024,-78.4746,38.0604,5.0,2,211.5,4.9497,69900.0,5.0,2.02,1.0,0.0,1,44.88432470128074,40.11659063928539,3,Low
Alexandria,Alexandria,4,204.5,123.4409,35.0,330.0,61400.0,12020.8153,52900.0,69900.0,2021.25,2018,2024,-77.0623,38.8128,2.75,4,204.5,123.4409,61400.0,2.75,3.31,0.75,0.25,2,46.115926485326085,41.321664943344196,4,Low
Allegheny,Pittsburgh,2,254.0,55.1543,215.0,293.0,,,,,2021.5,2020,2023,-80.0068,40.4999,2.5,2,254.0,55.1543,,2.5,,1.0,0.0,2,42.91771801692163,38.09785266717798,5,Low
Allen,Fort Wayne,2,121.5,125.1579,33.0,210.0,54947.5,21146.0283,39995.0,69900.0,2017.5,2017,2018,-85.1673,41.1086,6.5,2,121.5,125.1579,54947.5,6.5,2.01,0.5,0.5,2,37.72851925003153,32.91699934274083,6,Low
Anchorage,Eagle River,1,215.0,,215.0,215.0,,,,,2021.0,2021,2021,-149.5671,61.3216,3.0,1,215.0,0.0,,3.0,,1.0,0.0,1,30.493563618573685,34.92452452145913,7,Low
Anne Arundel,Annapolis,3,215.0,0.0,215.0,215.0,,,,,2023.3333,2022,2024,-76.4898,38.9731,0.6667,3,215.0,0.0,,0.6667,,1.0,0.0,3,46.64811769943134,41.84750715311487,8,Low
Anne Arundel,Crofton,1,25.0,,25.0,25.0,,,,,2023.0,2023,2023,-76.6908,39.0119,1.0,1,25.0,0.0,,1.0,,0.0,1.0,1,46.44340920066054,41.64283129963668,8,Low
Anne Arundel,Edgewater,1,200.0,,200.0,200.0,,,,,2017.0,2017,2017,-76.5657,38.926,7.0,1,200.0,0.0,,7.0,,1.0,0.0,1,46.582284626239606,41.783081647121236,8,Low
Anne Arundel,Fort George G Meade,2,123.5,129.4005,32.0,215.0,,,,,2024.0,2024,2024,-76.7352,39.1085,0.0,2,123.5,129.4005,,0.0,,0.5,0.5,2,46.3819813602222,41.5794280231222,8,Low
Anne Arundel,Gambrills,1,47.0,,47.0,47.0,,,,,2018.0,2018,2018,-76.6969,39.0606,6.0,1,47.0,0.0,,6.0,,0.0,1.0,1,46.428426189135465,41.62677780047358,8,Low
Anne Arundel,Hanover,1,215.0,,215.0,215.0,,,,,2023.0,2023,2023,-76.7201,39.1559,1.0,1,215.0,0.0,,1.0,,1.0,0.0,1,46.388167824241556,41.58448753104936,8,Low
