County,EV_Count,Avg_Range,Avg_MSRP,Avg_Model_Year
King,124211,179.15,60565.3,2021.76
Snohomish,31031,182.9,60283.93,2021.81
Pierce,20829,172.54,59421.76,2021.64
Clark,15279,165.79,60546.52,2021.57
Thurston,9175,167.42,56912.34,2021.32
Kitsap,8479,165.24,59203.0,2021.37
Spokane,7123,158.64,57961.79,2021.63
Whatcom,6144,161.32,57577.14,2020.96
Benton,3391,165.23,61267.82,2021.34
Skagit,2941,169.92,59798.6,2021.31
Island,2751,166.01,60206.39,2021.17
Yakima,1693,164.07,63129.3,2021.29
Chelan,1553,177.95,66761.5,2021.57
Clallam,1527,154.26,55627.18,2020.9
Jefferson,1320,158.4,58310.17,2020.63
Cowlitz,1303,166.25,60480.98,2021.35
Mason,1234,164.86,59401.91,2021.22
San Juan,1207,151.12,60579.35,2019.81
Lewis,1120,143.38,47624.26,2021.34
Franklin,1008,175.06,65209.35,2021.16
Grays Harbor,943,154.5,56292.58,2021.04
Grant,936,162.04,60543.33,2021.41
Kittitas,929,180.86,63050.84,2021.57
Walla Walla,686,154.55,58485.38,2021.24
Douglas,559,173.58,61510.64,2021.39
Whitman,513,153.5,57946.36,2021.59
Klickitat,448,161.26,60105.19,2021.37
Okanogan,384,163.0,54209.13,2021.61
Stevens,311,154.6,61940.23,2021.27
Pacific,299,140.99,53079.77,2021.37
Skamania,250,167.98,60433.12,2021.4
Adams,96,170.22,55769.0,2021.54
Asotin,96,157.09,57687.78,2021.52
Pend Oreille,87,175.78,54947.5,2021.77
Wahkiakum,87,167.44,60387.78,2020.61
Lincoln,78,141.41,51210.0,2020.99
Ferry,44,168.7,69900.0,2020.91
San Diego,34,173.59,52811.43,2021.12
Fairfax,26,152.58,69900.0,2021.35
Columbia,25,185.48,69900.0,2021.6
El Paso,21,135.1,49148.0,2021.67
Orange,18,177.94,69900.0,2020.5
Santa Clara,15,155.87,,2021.67
Los Angeles,15,160.6,64950.0,2020.53
Knox,13,215.0,,2023.54
Anne Arundel,11,164.45,,2022.18
Riverside,10,187.8,,2021.5
Maricopa,10,151.2,54947.5,2019.8
Montgomery,9,156.78,39995.0,2021.0
Virginia Beach,8,169.62,,2021.75
New London,7,125.43,52472.5,2019.29
Monterey,7,105.57,69900.0,2020.86
District Of Columbia,7,180.43,,2022.0
Bexar,7,162.71,39995.0,2023.0
Lake,7,215.0,,2022.71
Multnomah,7,189.57,90700.0,2021.14
Alameda,7,187.29,,2022.29
Cumberland,6,159.33,69900.0,2019.83
Leavenworth,6,119.83,53710.0,2020.83
San Bernardino,6,184.5,,2023.17
Macomb,6,215.0,,2024.33
Kings,5,178.4,39995.0,2022.2
Prince George'S,5,136.6,,2020.4
Contra Costa,5,179.6,,2021.8
Duval,5,176.2,,2023.4
Suffolk,5,139.2,47472.5,2019.8
Prince William,5,49.2,,2018.0
Hillsborough,4,128.75,,2019.25
San Mateo,4,165.75,184400.0,2023.0
Howard,4,125.25,64950.0,2019.75
Kootenai,4,167.75,,2021.5
San Francisco,4,185.75,,2021.75
Alexandria,4,204.5,61400.0,2021.25
Cook,4,120.75,39995.0,2023.0
Marin,4,117.5,44100.0,2021.0
Rockingham,4,238.25,,2023.0
Garfield,4,74.0,,2018.75
Middlesex,4,215.0,,2023.25
Travis,4,182.5,59900.0,2017.25
Ventura,4,146.75,39995.0,2020.75
Newport,4,70.25,,2017.75
Honolulu,3,87.0,,2021.33
Dupage,3,215.0,,2022.0
New York,3,215.0,,2021.33
Autauga,3,93.0,,2022.0
Solano,3,215.0,,2021.67
St. Louis,3,193.0,,2022.33
St. Mary'S,3,215.0,,2023.67
Stafford,3,216.67,,2020.33
Placer,3,257.33,69900.0,2020.33
Hamilton,3,223.0,,2021.67
Arlington,3,216.67,,2020.67
Williamson,3,152.67,,2022.0
York,3,215.0,,2022.33
Harnett,3,215.0,,2020.67
Loudoun,2,123.5,39995.0,2022.5
Sarpy,2,128.5,,2023.5
Washoe,2,261.5,69900.0,2021.5
Wake,2,215.0,,2022.5
Shelby,2,118.0,,2023.0
Salt Lake,2,29.0,,2023.0
Saratoga,2,121.0,,2019.5
New Haven,2,26.0,39995.0,2016.0
Sacramento,2,215.0,,2022.0
Maui,2,215.0,,2020.0
Miami-Dade,2,215.0,,2023.0
Pulaski,2,268.5,,2021.5
Prince George,2,217.5,,2021.0
Portsmouth,2,29.0,53400.0,2020.0
Polk,2,182.0,,2021.0
Moore,2,215.0,69900.0,2023.0
Okaloosa,2,28.0,,2019.5
Nueces,2,237.0,,2021.5
Muscogee,2,171.5,64950.0,2021.0
Ada,2,215.0,,2022.5
Yuba,2,215.0,,2023.0
Dallas,2,215.0,,2023.0
Laramie,2,128.5,,2023.0
Burlington,2,30.0,,2016.0
Geary,2,215.0,69900.0,2022.5
Harford,2,215.0,,2022.5
Harris,2,155.0,,2018.5
Berkeley,2,118.0,,2023.5
Camden,2,215.0,,2023.5
Fresno,2,117.5,69900.0,2019.0
Frederick,2,126.0,,2023.5
Escambia,2,122.0,,2020.0
Dekalb,2,152.0,,2017.0
Chesapeake,2,237.0,,2021.0
Kent,2,128.5,,2024.5
Allen,2,121.5,54947.5,2017.5
Albemarle,2,211.5,69900.0,2019.0
Allegheny,2,254.0,,2021.5
Clackamas,2,126.0,54950.0,2018.0
Kern,2,157.5,,2019.0
Greene,2,215.0,,2022.5
Arapahoe,2,118.5,44100.0,2022.5
Carroll,1,19.0,,2015.0
Santa Cruz,1,215.0,,2022.0
Churchill,1,32.0,39995.0,2023.0
Sarasota,1,220.0,,2019.0
Charlottesville,1,21.0,,2022.0
Bucks,1,215.0,,2024.0
Sedgwick,1,21.0,,2017.0
Calvert,1,32.0,39995.0,2021.0
Caddo,1,215.0,,2024.0
St. Charles,1,215.0,,2024.0
St. Clair,1,39.0,,2024.0
Chesterfield,1,215.0,,2023.0
Christian,1,21.0,,2024.0
Sussex,1,84.0,,2016.0
Brown,1,220.0,,2019.0
Bannock,1,291.0,,2020.0
Wise,1,200.0,,2017.0
Williamsburg,1,38.0,,2013.0
Anchorage,1,215.0,,2021.0
Weld,1,215.0,,2022.0
Wayne,1,215.0,,2022.0
Washtenaw,1,6.0,,2015.0
Atlantic,1,215.0,,2023.0
Washington,1,215.0,,2022.0
Wasco,1,6.0,,2015.0
Baldwin,1,215.0,,2024.0
Barnstable,1,220.0,,2019.0
Stanislaus,1,215.0,,2024.0
Beaufort,1,215.0,,2022.0
Beaver,1,215.0,,2023.0
Bell,1,215.0,,2023.0
