city,county,state,ev_count,bev_count,phev_count,bev_ratio,phev_ratio,required_chargers,high_demand,centroid_lat,centroid_lon
Aberdeen,Grays Harbor,WA,236,163,73,0.690677966101695,0.3093220338983051,12,1,46.97606,-123.81619000000002
Aberdeen Proving Ground,Harford,MD,1,1,0,1.0,0.0,1,0,39.48329,-76.13297
Acme,Whatcom,WA,11,7,4,0.6363636363636364,0.36363636363636365,1,0,48.71768,-122.20348
Addy,Stevens,WA,6,6,0,1.0,0.0,1,0,48.35609,-117.8379
Airway Heights,Spokane,WA,42,30,12,0.7142857142857143,0.2857142857142857,3,0,47.6443,-117.59311
Alameda,Alameda,CA,3,2,1,0.6666666666666666,0.3333333333333333,1,0,37.76707,-122.24584
Alderdale,Klickitat,WA,1,1,0,1.0,0.0,1,0,46.20663,-119.76904
Alexandria,Alexandria,VA,4,3,1,0.75,0.25,1,0,38.81284,-77.06232
Alexandria,Fairfax,VA,5,4,1,0.8,0.2,1,0,38.762997999999996,-77.099266
Algona,King,WA,48,39,9,0.8125,0.1875,3,1,47.3074,-122.23035
Aliso Viejo,Orange,CA,1,0,1,0.0,1.0,1,0,33.56964,-117.72682
Allyn,Mason,WA,109,83,26,0.7614678899082569,0.23853211009174313,6,1,47.38173,-122.82984
Almira,Grant,WA,1,1,0,1.0,0.0,1,0,47.71094,-118.94018
Almira,Lincoln,WA,1,1,0,1.0,0.0,1,0,47.71094,-118.94018
Alvord,Wise,TX,1,1,0,1.0,0.0,1,0,33.35908,-97.69452
Amanda Park,Grays Harbor,WA,4,2,2,0.5,0.5,1,0,47.45917,-123.89691
Amboy,Clark,WA,33,30,3,0.9090909090909091,0.09090909090909091,2,0,45.91958,-122.42148
Amboy,Cowlitz,WA,1,1,0,1.0,0.0,1,0,45.91958,-122.42148
Anacortes,San Juan,WA,15,13,2,0.8666666666666667,0.13333333333333333,1,0,48.51748,-122.61214
Anacortes,Skagit,WA,935,692,243,0.7401069518716578,0.25989304812834224,47,1,48.51748,-122.61214
Anderson Island,Pierce,WA,57,45,12,0.7894736842105263,0.21052631578947367,3,1,47.17794000000001,-122.67876
Ann Arbor,Washtenaw,MI,1,0,1,0.0,1.0,1,0,42.28709,-83.68367
Annapolis,Anne Arundel,MD,3,3,0,1.0,0.0,1,0,38.97309666666666,-76.48979333333334
Apache Junction,Pinal,AZ,1,0,1,0.0,1.0,1,0,33.42314,-111.54612
Appleton,Klickitat,WA,1,0,1,0.0,1.0,1,0,45.6939,-121.28544
Arcadia,Los Angeles,CA,1,1,0,1.0,0.0,1,0,34.14554,-118.0279
Ariel,Cowlitz,WA,25,17,8,0.68,0.32,2,0,45.989740000000005,-122.53658
Arlington,Arlington,VA,3,3,0,1.0,0.0,1,0,38.854713333333336,-77.09329000000001
Arlington,Shelby,TN,1,1,0,1.0,0.0,1,0,35.2917,-89.67459
